対象画面,セクション,要素,詳細
共通,ヘッダー,サービス名,
,,お問い合わせ,ボタンを押下すると、外部のお問い合わせページに遷移する（問い合わせページはD-relations様でご準備予定）
,フッダー,会社ロゴ,ボタンを押下すると、外部のD-relations様の会社サイトに遷移
,,copyright,
,,利用規約,ボタンを押下すると、外部の利用規約ページに遷移する（ページはD-relations様でご準備予定）
,,個人情報保護方針,ボタンを押下すると、外部の個人情報保護方針ページに遷移する（ページはD-relations様でご準備予定）
TOPページ,ファーストビュー,見出しテキスト,
,,補足テキスト,
,リードテキスト,見出しテキスト,
,,補足テキスト,
,,テストイメージ画像,
,選択①：[無料版]力量評価チェックの選択欄,見出しテキスト,
,,補足テキスト,
,,テストイメージ画像,
,,「テストをはじめる」ボタン,ボタンを押下すると、無料版の力量評価チェックの使用手順・条件設定ページに遷移する
,選択②：[有料版]力量評価チェックの選択欄,見出しテキスト,
,,補足テキスト,
,,テストイメージ画像,
,,「テストをはじめる」ボタン,ボタンを押下すると、有料版の力量評価チェックの使用手順・条件設定ページに遷移する
,選択③：[有料版]目合わせ評価チェックの選択欄,見出しテキスト,
,,補足テキスト,
,,テストイメージ画像,
,,「テストをはじめる」ボタン,ボタンを押下すると、有料版の目合わせ評価チェックの使用手順・条件設定ページに遷移する
カテゴリ選択画面,末梢血板の選択欄,見出しテキスト,
,,補足テキスト,
,,テストイメージ画像,
,,「テストをはじめる」ボタン,ボタンを押下すると、[末梢血板]力量評価チェックページ > テスト前のインストラクションページに遷移する
,骨髄板の選択欄,見出しテキスト,
,,補足テキスト,
,,テストイメージ画像,
,,「テストをはじめる」ボタン,ボタンを押下すると、[骨髄板]力量評価チェックページ > テスト前のインストラクションページに遷移する
力量評価チェックページ_テスト前のインストラクションページ,タイトル,見出しテキスト,
,,補足テキスト,
,テスト回答のステップ,見出しテキスト,
,,補足テキスト,
,,ステップ説明テキスト,
,選択ボタン,「テストをはじめる」ボタン,ボタンを押下すると、テストページに遷移する
,,TOPへ戻るボタン,ボタンを押下すると、選択ページに遷移する
