,,
1. OTP認証関連,,
エラー,HTTPステータス,メッセージ
OTPコード不一致,400,"認証コードが正しくありません。もう一度お試しください。
[認証コードを再送信する]リンク"
OTP有効期限切れ,400,"認証コードの有効期限（xx分）が切れました。
[認証コードを再送信する]リンク"
OTP再送信レート制限,429,"認証試行回数が上限に達しました。しばらく待ってから再試行してください。
[認証コードを再送信する]リンク"
OTP認証試行レート制限,429,"認証試行回数が上限に達しました。しばらく待ってから再試行してください。
[認証コードを再送信する]リンク"
,,
2. セッション関連,,
エラー,HTTPステータス,メッセージ
セッション無効,401,"認証が必要です。
[認証を行う]リンク（OTP認証画面へ遷移）"
セッション期限切れ,401,"セッションの有効期限が切れました。
[認証を行う]リンク（OTP認証画面へ遷移）"
,,
3. テスト受験関連（受験者）,,
エラー,HTTPステータス,メッセージ
テスト開始済み,400,すでにテストを開始しています。新たに受験することはできません。
テスト完了済み,403,このテストはすでに受験済みです。テストは一度しか受験できません。
受験期限切れ,403,受験期限が切れています。
OTP再送信不可,403,テストを開始済みのため、認証コードを再送信できません。
,,
4. 管理画面関連（購入者）,,
エラー,HTTPステータス,メッセージ
管理画面が見つからない,404,管理画面が見つかりません。URLをご確認ください。
閲覧期限切れ,403,管理画面の閲覧期限が切れています。
購入時認証未完了,403,"購入時の本人確認が完了していません。
[認証を行う]リンク（OTP認証画面へ遷移）"
,,
5. リンク・トークン関連,,
エラー,HTTPステータス,メッセージ
受験リンク無効,404,受験リンクが無効です。URLをご確認ください。
管理画面トークン無効,404,管理画面が見つかりません。URLをご確認ください。
,,
6. その他,,
エラー,HTTPステータス,メッセージ
サーバーエラー,500,サーバーエラーが発生しました。しばらく待ってから再試行してください。
サービス利用不可,503,現在サービスを利用できません。
,,
7. 認証試行のレート制限,,
同一IPアドレスから1分間にx回以上OTP認証を試行,,
↓,,
429 rate_limit_verify,,
↓,,
「認証試行回数が上限に達しました。しばらく待ってから再試行してください」,,
,,
8. 管理画面の閲覧期限切れ,,
現在時刻 > view_expires_at（購入日+1ヶ月）,,
↓,,
403 admin_view_expired,,
↓,,
「管理画面の閲覧期限が切れています」,,
