対象,対象画面,機能概要,詳細,工数概算（人日）
共通機能,使用手順・条件設定ページ,利用登録機能,"ユーザーは、テスト利用前に個人情報登録を行うことができる。

・氏名
　- 入力フォーム
・メールアドレス
　- 入力フォーム
・組織コード
　- 入力フォーム　※目合わせ評価テストのみ
・職種：複数選択
　- 複数選択臨床検査技師・医師・学生・その他
　- 臨床検査技師を選択すると、認定保有の有無の選択項目が出現する
　- その他を選択すると、入力フォームが出現する
・年代：単数選択
　- 10 / 20 / 30 / 40 / 50 / 60代以上
・性別：単数選択
　- 男性・女性・その他
・居住地域：単数選択
　- 都道府県のプルダウン選択",4
無料版力量評価チェック,無料版_力量評価チェックページ_テスト選択,テスト選択機能,"ユーザーは、以下の2種類より受験したい分野を選択を行うことができる。

▼分野
・末梢血版
・骨髄版",2
,,テストのランダム生成機能（テストの内容をデータベース上で管理し、ランダムに出題する機能）,"ユーザーは、以下のランダム生成された形式でテストを受験することができる。出題形式は以下の通り。

▼出題形式
・問題は15問を想定（問題はデータベース上で管理し、ランダムに出題する）
・問題に対し1細胞の画像が表示される。
・受験者は、プルダウンから大カテゴリ、および各カテゴリに紐づく細胞名を選択して回答する。リストは大カテゴリで先に絞り込みを行い、大カテゴリに紐付く細胞名をプルダウンから選択する。
・1つの細胞に対して、複数の画像を保持している。各細胞に対する画像は10種類を保持する。（画像はデータベース上で管理し、ランダムに表示する）
・問題ランダム✖️画像表示もランダム形式で出題を行う。

※問題と回答の選択肢は2種類の分野（末梢血版・骨髄版）に完全に分けて出題するので、分野を考慮して出題・回答選択肢の表示ロジックを組むこと

▼データ構造イメージ
分野
↪︎大カテゴリ
↪︎↪︎問題（細胞）
↪︎↪︎回答の選択肢（分野ごとに固定）",4
,無料版_力量評価チェックページ_テスト受験,テスト受験,"ユーザーは、以下の回答形式でテストを受験することができる。回答形式は以下の通り。

▼回答形式
・一問一答形式で、回答リストから細胞名を選択して回答を行う。（戻るボタンは無し）
・問題をスキップすることは可能、不正解とする。
・回答の途中でテスト受験を終了することができる。再受験は不可能。
・テストを一度開始した場合（テストの受験方法画面でテストを始めるを押下した後）、再受験はできない。
・回答を行うと、正誤と解説内容がが表示される",4
,無料版_力量評価チェックページ_解説ページ,レポート表示機能（結果表示／フィードバック機能）,"ユーザーは、テストの受験結果についてレポートを確認することができる。

▼構成
・テスト結果サマリー（正答率 / 問題数 / 正解数 / 不正解数）
・回答一覧（細胞画像 / 問題数 / 回答結果）",4
有料版力量評価チェック,有料版_力量評価チェックページ_テスト選択,テスト選択機能,"ユーザーは、2種類のカテゴリより、受験したいカテゴリを選択を行うことができる。

▼カテゴリ
・末梢血版
・骨髄版",2
,有料版_力量評価チェックページ_テスト購入,テスト購入機能,"・ユーザーは、有料版のテストをstripe決済を通じて購入を行うことができる。
・テスト購入後、メールにテスト受験リンクが送付され、OTP認証を実施する。詳細は「OTPメール認証仕様」を参照",5
,有料版_力量評価チェックページ_テスト受験,テストのランダム生成機能（テストの内容をデータベース上で管理し、ランダムに出題する機能）,"ユーザーは、以下のランダム生成された形式でテストを受験することができる。出題形式は以下の通り。

▼出題形式
・問題は20問を想定（問題はデータベース上で管理し、ランダムに出題する）
・問題は掲載される細胞の画像に対して、リストから細胞名を選択して回答する。
・1つの細胞に対して、複数の画像を保持している。各細胞に対する画像は10種類を保持する。（画像はデータベース上で管理し、ランダムに表示する）
・問題ランダム✖️画像表示もランダム形式で出題を行う。",2
,,テスト受験,"ユーザーは、以下の回答形式でテストを受験することができる。回答形式は以下の通り。

▼回答形式
・一問一答形式で、回答リストから細胞名を選択して回答を行う。（戻るボタンは無し）
・問題をスキップすることは可能、不正解とする。
・回答の途中でテスト受験を終了することができる。再受験は不可能。
・テストを一度開始した場合（テストの受験方法画面でテストを始めるを押下した後）、再受験はできない。
・回答を行うと、正誤と解説内容がが表示される",2
,,OTP認証,詳細は「OTPメール認証仕様」を参照,
,力量評価チェックページ_解説ページ,レポート表示機能（結果表示）,"ユーザーは、テストの受験結果についてレポートを確認することができる。

▼構成
・テスト結果サマリー（正答率 / 問題数 / 正解数 / 不正解数）
・回答一覧（細胞画像 / 問題数 / 回答結果）
・統計情報",4
,,おすすめの講座情報の表示機能,"ユーザーは、テストの受験結果に基づいたおすすめの講座情報を確認することができる。

▼構成
・システム側でおすすめの講座データを設定できるようにする。",1
,,受験者の統計回答の集計・表示機能（各設問の回答に対する統計集計）,"ユーザーは、テストの各設問の回答に対して、統計情報を確認することができる。

▼統計情報の収集条件（各細胞に対する分布計算の条件）
・問題と画像が一致を条件に、統計収集を行う。",2
,,レポート出力機能（結果レポートのPDFダウンロード）,ユーザーは、テストの受験結果について、PDFダウンロードを行うことができる。,2
有料版_目合わせチェック,有料版_目合わせチェックページ_テスト選択,テスト選択機能,"ユーザー（テスト購入者）は、2種類のカテゴリより、受験したいカテゴリを選択を行うことができる。

▼カテゴリ
・末梢血版
・骨髄版",-
,有料版_目合わせチェックページ_テスト購入,ユーザー（テスト購入者）：テスト購入機能,ユーザー（テスト購入者）は、有料版のテストの購入数を指定し、stripe決済を通じて購入を行うことができる。,2
,有料版_目合わせチェックページ_テスト配信,ユーザー（テスト購入者）：OTP認証,詳細は「OTPメール認証仕様」を参照,
,有料版_目合わせチェックページ_テスト配信,ユーザー（テスト購入者）：テスト配信機能,ユーザー（テスト購入者）は、テスト受験者のメールアドレス・氏名を登録し、テストを配布することができる。,2
,有料版_目合わせチェックページ_テスト配信,ユーザー（テスト受験者）：テスト受信機能,"ユーザー（テスト受験者）は、テスト購入者より指定されたテスト受験用のリンクをメールで受領することができる。

▼テスト配布仕様
・購入する時点で、出題内容はテスト受験者全員に対して一律固定される
・購入する時点で、出題内容は全員一律固定される（＝同じ問題が出題される）
・テスト受験の有効期間：10日程度
・テスト配布者のページ閲覧の有効期間：ページ有効期間から1ヶ月

・テスト購入者がテスト配布後、受験リンクが送付される。
・テスト購入後、購入者（＝管理者）に管理画面リンクが送付され、OTP認証を実施する。
認証後、初回画面でテスト受験者にテスト配布を行うことができる。詳細は「OTPメール認証仕様」を参照",2
,有料版_目合わせチェックページ_テスト配信,ユーザー（テスト受験者）：OTP認証,詳細は「OTPメール認証仕様」を参照,
,有料版_目合わせチェックページ_テスト受験,テストのランダム生成機能（テストの内容をデータベース上で管理し、ランダムに出題する機能）,"ユーザー（テスト受験者）は、以下のランダム生成された形式でテストを受験することができる。出題形式は以下の通り。

▼出題形式
・問題は20問を想定（問題はデータベース上で管理し、ランダムに出題する）
・問題は掲載される細胞の画像に対して、リストから細胞名を選択して回答する。
・1つの細胞に対して、複数の画像を保持している。各細胞に対する画像は10種類を保持する。（画像はデータベース上で管理し、ランダムに表示する）
・問題ランダム✖️画像表示もランダム形式で出題を行う。",-
,,テスト受験,"ユーザー（テスト受験者）は、以下の回答形式でテストを受験することができる。回答形式は以下の通り。

▼回答形式
・一問一答形式で、回答リストから細胞名を選択して回答を行う。（戻るボタンは無し）
・問題をスキップすることは可能、不正解とする。
・回答の途中でテスト受験を終了することができる。再受験は不可能。
・テストを一度開始した場合（テストの受験方法画面でテストを始めるを押下した後）、再受験はできない。
・回答を行うと、正誤と解説内容がが表示される",-
,,未受験者へのメールリマインド機能,"ユーザー（テスト受験者）は、テスト未受験の場合にメールで受験のリマインドを受信することができる。

▼テスト受験の有効期限の仕様
・テスト受験の有効期間：10日程度
・リマインドのタイミング：未受験者に2日前に連絡する",2
,有料版_目合わせチェック_解説ページ,レポート表示機能（結果表示／フィードバック機能）,"ユーザー（テスト受験者）は、テストの受験結果についてレポートを確認することができる。

▼構成
・テスト結果サマリー（正答率 / 問題数 / 正解数 / 不正解数）
・回答一覧（細胞画像 / 問題数 / 回答結果）
・統計情報",2
,,受験者の統計回答の集計・表示機能（各設問の回答に対する統計集計）,"ユーザー（テスト受験者）は、テストの各設問の回答に対して、統計情報を確認することができる。

▼統計情報の収集条件（各細胞に対する分布計算の条件）
・問題と画像が一致を条件に、統計収集を行う。",1
,,レポート出力機能（結果レポートのPDFダウンロード）,ユーザー（テスト受験者）は、テストの受験結果について、PDFダウンロードを行うことができる。,-
,有料版_目合わせチェック_管理者ページ,受験状況の管理機能（受験者の受験状況を確認できるページを表示する機能）,"・ユーザー（テスト購入者）は、テスト受験者の受験状況を一覧上で確認することができる。
・ページ閲覧の有効期間：ページ有効期間から1ヶ月とする。

▼構成
・受験者の氏名
・受験日時
・正答率
・グループ全体の正答率
・回答レポートへの遷移リンク",1
,,レポート表示機能（結果表示）,"ユーザー（テスト購入者）は、テスト受験者の回答内容を確認することができる。

▼構成
・テスト結果サマリー（正答率 / 問題数 / 正解数 / 不正解数）
・回答一覧（細胞画像 / 問題数 / 回答結果）",1
,,レポート出力機能（結果レポートのPDFダウンロード）,ユーザーは、テストの受験結果について、PDFダウンロードを行うことができる。,-
,,,,51
